
Gurobi 10.0.1 (win64) logging started Sat May  2 18:25:03 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_55j_seed1\log\exp_7f_55j_seed1_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 146431 rows, 73150 columns and 722192 nonzeros
Model fingerprint: 0x51efa01c
Variable types: 1430 continuous, 71720 integer (71720 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [3e+01, 2e+03]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 4e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 91735 rows and 45747 columns
Presolve time: 0.62s
Presolved: 54696 rows, 27403 columns, 267858 nonzeros
Variable types: 905 continuous, 26498 integer (26498 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 54696 rows, 27403 columns, 267858 nonzeros

Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 2.474778e+04, 2777 iterations, 0.21 seconds (0.28 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 24708.1539    0  584 16134.8570 24708.1539  53.1%     -   16s
     0     0 24708.1009    0  562 16134.8570 24708.1009  53.1%     -   16s
     0     0 24708.0917    0  583 16134.8570 24708.0917  53.1%     -   16s
     0     0 24708.0917    0  592 16134.8570 24708.0917  53.1%     -   16s
     0     0 24707.5998    0  595 16134.8570 24707.5998  53.1%     -   17s
     0     0 24707.4482    0  569 16134.8570 24707.4482  53.1%     -   17s
     0     0 24707.4264    0  592 16134.8570 24707.4264  53.1%     -   17s
     0     0 24707.4264    0  593 16134.8570 24707.4264  53.1%     -   17s
     0     0 24707.4264    0  599 16134.8570 24707.4264  53.1%     -   18s
     0     0 24707.3940    0  553 16134.8570 24707.3940  53.1%     -   18s
     0     0 24707.1564    0  559 16134.8570 24707.1564  53.1%     -   18s
     0     0 24707.1529    0  570 16134.8570 24707.1529  53.1%     -   18s
     0     0 24706.4293    0  604 16134.8570 24706.4293  53.1%     -   18s
     0     0 24706.0844    0  524 16134.8570 24706.0844  53.1%     -   18s
     0     0 24706.0844    0  557 16134.8570 24706.0844  53.1%     -   19s
     0     0 24706.0098    0  559 16134.8570 24706.0098  53.1%     -   19s
     0     0 24705.9986    0  552 16134.8570 24705.9986  53.1%     -   19s
     0     0 24705.9160    0  588 16134.8570 24705.9160  53.1%     -   19s
     0     0 24705.8554    0  548 16134.8570 24705.8554  53.1%     -   19s
     0     0 24705.8554    0  529 16134.8570 24705.8554  53.1%     -   19s
     0     0 24705.8247    0  543 16134.8570 24705.8247  53.1%     -   20s
     0     0 24705.7304    0  540 16134.8570 24705.7304  53.1%     -   20s
     0     0 24705.7284    0  528 16134.8570 24705.7284  53.1%     -   20s
     0     0 24705.7284    0  571 16134.8570 24705.7284  53.1%     -   20s
     0     0 24705.7178    0  572 16134.8570 24705.7178  53.1%     -   20s
     0     0 24705.6791    0  560 16134.8570 24705.6791  53.1%     -   21s
     0     0 24705.6662    0  541 16134.8570 24705.6662  53.1%     -   21s
     0     0 24705.6375    0  551 16134.8570 24705.6375  53.1%     -   21s
     0     0 24705.6012    0  573 16134.8570 24705.6012  53.1%     -   21s
     0     0 24705.6012    0  591 16134.8570 24705.6012  53.1%     -   21s
     0     0 24705.6012    0  587 16134.8570 24705.6012  53.1%     -   21s
     0     0 24705.6012    0  589 16134.8570 24705.6012  53.1%     -   22s
     0     0 24705.6012    0  588 16134.8570 24705.6012  53.1%     -   22s
     0     0 24705.3853    0  589 16134.8570 24705.3853  53.1%     -   22s
     0     0 24705.3853    0  549 16134.8570 24705.3853  53.1%     -   22s
     0     0 24705.3853    0  555 16134.8570 24705.3853  53.1%     -   23s
     0     0 24705.3853    0  549 16134.8570 24705.3853  53.1%     -   23s
     0     0 24705.2729    0  584 16134.8570 24705.2729  53.1%     -   24s
     0     0 24704.9544    0  593 16134.8570 24704.9544  53.1%     -   24s
     0     0 24704.2678    0  585 16134.8570 24704.2678  53.1%     -   24s
     0     0 24703.9065    0  565 16134.8570 24703.9065  53.1%     -   24s
     0     0 24703.9065    0  585 16134.8570 24703.9065  53.1%     -   24s
     0     0 24702.9552    0  558 16134.8570 24702.9552  53.1%     -   25s
     0     0 24702.9069    0  576 16134.8570 24702.9069  53.1%     -   25s
     0     0 24702.9069    0  571 16134.8570 24702.9069  53.1%     -   25s
     0     0 24657.9595    0  549 16134.8570 24657.9595  52.8%     -   25s
     0     0 24657.9595    0  541 16134.8570 24657.9595  52.8%     -   26s
     0     0 24657.9595    0  556 16134.8570 24657.9595  52.8%     -   26s
     0     0 24657.9595    0  540 16134.8570 24657.9595  52.8%     -   26s
     0     0 24657.9595    0  581 16134.8570 24657.9595  52.8%     -   27s
     0     0 24657.9595    0  564 16134.8570 24657.9595  52.8%     -   27s
     0     0 24657.9595    0  584 16134.8570 24657.9595  52.8%     -   27s
     0     0 24657.9595    0  472 16134.8570 24657.9595  52.8%     -   28s
     0     2 24657.3520    0  446 16134.8570 24657.3520  52.8%     -   29s
