record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0009999275207519531,0,"{""1"": [], ""2"": [], ""3"": []}"
validated,2,553.6020530432709,0.0,15597.917900089193,27.175325243727052,0.3539998531341553,1,"{""1"": [], ""2"": [], ""3"": [7]}"
validated,3,9288.010301358785,4302.2631714,15188.452820847813,0.6352751911381737,0.560999870300293,18,"{""1"": [2, 3, 9, 10, 21], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [7, 12, 17, 19, 20, 22, 23]}"
validated,4,10554.956153141953,2617.3507400999997,15188.452820847813,0.43898777034015257,0.5779998302459717,18,"{""1"": [2, 3, 9, 10, 21], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [7, 12, 14, 17, 19, 22, 23]}"
validated,5,11062.292036103412,1206.7151547,15188.452820847813,0.3729932975262333,0.6089999675750732,17,"{""1"": [2, 3, 9, 10, 21], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [7, 12, 17, 19, 22, 23]}"
validated,6,11454.039148937129,640.3582326000001,13918.261042467988,0.2151399922323057,26.668999910354614,15,"{""1"": [3, 9, 12, 21], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [7, 19, 20, 22, 23]}"
validated,7,11806.161433263534,529.6968222,13858.203336723345,0.17381109982777632,29.83799982070923,15,"{""1"": [3, 9, 12, 25], ""2"": [5, 8, 13, 15, 16], ""3"": [7, 14, 17, 19, 22, 23]}"
validated,8,11807.595395396898,142.1833002,13770.546786040488,0.16624480471348393,35.36299991607666,15,"{""1"": [1, 9, 12, 25], ""2"": [5, 8, 13, 15, 16], ""3"": [7, 14, 17, 19, 22, 23]}"
validated,9,11835.81916728788,361.5676038,13488.201217120268,0.13960859206089263,65.28399991989136,14,"{""1"": [1, 9, 12, 25], ""2"": [5, 8, 13, 15, 16], ""3"": [14, 17, 19, 20, 23]}"
validated,10,11960.382703152241,338.1991002,13158.844329762891,0.100202615280428,123.47899985313416,15,"{""1"": [3, 9, 21, 25], ""2"": [5, 8, 13, 15, 16], ""3"": [7, 12, 14, 17, 19, 23]}"
validated,11,11991.217179612404,277.98039900000003,13134.261560051467,0.09532346577647512,129.13699984550476,15,"{""1"": [1, 3, 9, 12], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [7, 14, 19, 20, 23]}"
validated,12,12020.185155163517,372.7393158,13132.72948828179,0.09255633908770167,129.41899991035461,15,"{""1"": [3, 9, 12, 18], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [14, 17, 19, 20, 23]}"
validated,13,12120.295301452787,414.9358398,12854.37025481164,0.06056576470301545,195.81799983978271,15,"{""1"": [1, 3, 9, 12], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [14, 17, 19, 20, 23]}"
final_result,final,12120.295301452787,414.9358398,12120.295301452805,1.5007797733507576e-15,294.5899999141693,15,"{""1"": [1, 3, 9, 12], ""2"": [5, 8, 13, 15, 16, 25], ""3"": [14, 17, 19, 20, 23]}"
