var_type,var_name,order,factory,value,binary_value
z,"z[21,3]",21,3,0.0,0
z,"z[22,1]",22,1,0.0,0
z,"z[22,2]",22,2,-0.0,0
z,"z[22,3]",22,3,0.0,0
z,"z[22,4]",22,4,1.0,1
z,"z[23,1]",23,1,0.0,0
z,"z[23,3]",23,3,1.0,1
z,"z[23,4]",23,4,-0.0,0
z,"z[23,5]",23,5,0.0,0
z,"z[24,1]",24,1,0.0,0
z,"z[24,2]",24,2,1.0,1
z,"z[24,5]",24,5,-0.0,0
z,"z[25,4]",25,4,0.0,0
z,"z[25,5]",25,5,1.0,1
z,"z[26,1]",26,1,0.0,0
z,"z[26,2]",26,2,-0.0,0
z,"z[26,3]",26,3,1.000000000000004,1
z,"z[27,2]",27,2,-0.0,0
z,"z[27,3]",27,3,0.0,0
z,"z[27,5]",27,5,0.0,0
z,"z[28,1]",28,1,0.0,0
z,"z[28,2]",28,2,1.0,1
z,"z[28,4]",28,4,-0.0,0
z,"z[28,5]",28,5,-0.0,0
z,"z[29,1]",29,1,0.0,0
z,"z[29,2]",29,2,-0.0,0
z,"z[29,3]",29,3,0.0,0
z,"z[29,4]",29,4,1.0,1
z,"z[30,1]",30,1,0.0,0
z,"z[30,2]",30,2,1.0,1
z,"z[30,3]",30,3,0.0,0
z,"z[30,4]",30,4,-0.0,0
z,"z[30,5]",30,5,-0.0,0
z,"z[31,2]",31,2,1.0,1
z,"z[31,4]",31,4,0.0,0
z,"z[31,5]",31,5,-0.0,0
z,"z[32,1]",32,1,0.0,0
z,"z[32,2]",32,2,-0.0,0
z,"z[32,3]",32,3,0.0,0
z,"z[32,5]",32,5,-0.0,0
z,"z[33,2]",33,2,1.0,1
z,"z[33,3]",33,3,0.0,0
z,"z[33,5]",33,5,-0.0,0
z,"z[34,1]",34,1,0.0,0
z,"z[34,2]",34,2,0.0,0
z,"z[34,3]",34,3,0.0,0
z,"z[34,4]",34,4,-0.0,0
z,"z[35,1]",35,1,0.0,0
z,"z[35,4]",35,4,1.0,1
z,"z[36,2]",36,2,-0.0,0
z,"z[36,4]",36,4,1.0,1
z,"z[36,5]",36,5,-0.0,0
z,"z[37,1]",37,1,0.0,0
z,"z[37,3]",37,3,0.0,0
z,"z[37,5]",37,5,1.0,1
z,"z[38,1]",38,1,0.0,0
z,"z[38,3]",38,3,1.0,1
z,"z[39,1]",39,1,0.0,0
z,"z[39,2]",39,2,-0.0,0
z,"z[39,3]",39,3,0.0,0
z,"z[39,4]",39,4,1.0000000000000009,1
z,"z[40,1]",40,1,0.0,0
z,"z[40,3]",40,3,1.0,1
z,"z[41,1]",41,1,0.0,0
z,"z[41,2]",41,2,1.0000000000000002,1
z,"z[41,4]",41,4,-0.0,0
