factory,var_type,var_name,order,machine,value
1,start,"start[14,1]",14,1,19.997371
1,start,"start[14,2]",14,2,29.626631
1,start,"start[14,3]",14,3,38.282664
1,start,"start[14,4]",14,4,48.539208
1,start,"start[14,5]",14,5,58.299229
1,start,"start[17,1]",17,1,37.978407
1,start,"start[17,2]",17,2,48.120727
1,start,"start[17,3]",17,3,57.930019
1,start,"start[17,4]",17,4,67.288007
1,start,"start[17,5]",17,5,77.224254
1,start,"start[21,1]",21,1,47.599776
1,start,"start[21,2]",21,2,60.683523
1,start,"start[21,3]",21,3,72.915242
1,start,"start[21,4]",21,4,84.201975
1,start,"start[21,5]",21,5,97.048075
1,start,"start[31,1]",31,1,28.078914
1,start,"start[31,2]",31,2,37.978407
1,start,"start[31,3]",31,3,48.120727
1,start,"start[31,4]",31,4,57.197987
1,start,"start[31,5]",31,5,66.841343
1,start,"start[32,1]",32,1,9.7
1,start,"start[32,2]",32,2,19.997371
1,start,"start[32,3]",32,3,29.626631
1,start,"start[32,4]",32,4,38.282664
1,start,"start[32,5]",32,5,48.539208
1,o,"o[14,1]",14,1,28.078914
1,o,"o[14,2]",14,2,37.899027
1,o,"o[14,3]",14,3,45.515982
1,o,"o[14,4]",14,4,56.636952
1,o,"o[14,5]",14,5,66.042917
1,o,"o[17,1]",17,1,47.599776
1,o,"o[17,2]",17,2,57.930019
1,o,"o[17,3]",17,3,67.288007
1,o,"o[17,4]",17,4,77.224254
1,o,"o[17,5]",17,5,86.343303
1,o,"o[21,1]",21,1,60.683523
1,o,"o[21,2]",21,2,72.915242
1,o,"o[21,3]",21,3,84.201975
1,o,"o[21,4]",21,4,97.048075
1,o,"o[21,5]",21,5,110.008777
1,o,"o[31,1]",31,1,37.978407
1,o,"o[31,2]",31,2,48.120727
1,o,"o[31,3]",31,3,57.197987
1,o,"o[31,4]",31,4,66.841343
1,o,"o[31,5]",31,5,75.784269
1,o,"o[32,1]",32,1,19.997371
1,o,"o[32,2]",32,2,29.626631
1,o,"o[32,3]",32,3,38.282664
1,o,"o[32,4]",32,4,48.539208
1,o,"o[32,5]",32,5,58.299229
1,t,t[14],14,,70.542917
1,t,t[17],17,,91.343303
1,t,t[21],21,,111.008777
1,t,t[31],31,,83.584269
1,t,t[32],32,,59.399229
1,d,d[14],14,,0.0
1,d,d[17],17,,0.0
1,d,d[21],21,,0.0
1,d,d[31],31,,0.0
1,d,d[32],32,,0.0
2,start,"start[3,1]",3,1,41.637943
2,start,"start[3,2]",3,2,54.990352
2,start,"start[3,3]",3,3,65.822192
2,start,"start[3,4]",3,4,77.652257
2,start,"start[4,1]",4,1,49.285425
2,start,"start[4,2]",4,2,64.485449
2,start,"start[4,3]",4,3,76.104195
2,start,"start[4,4]",4,4,86.842847
2,start,"start[9,1]",9,1,14.0
2,start,"start[9,2]",9,2,22.145656
2,start,"start[9,3]",9,3,32.249754
2,start,"start[9,4]",9,4,41.302395
2,start,"start[16,1]",16,1,22.145656
2,start,"start[16,2]",16,2,32.249754
2,start,"start[16,3]",16,3,42.538492
2,start,"start[16,4]",16,4,51.19834
2,start,"start[22,1]",22,1,58.891974
2,start,"start[22,2]",22,2,76.104195
2,start,"start[22,3]",22,3,91.552678
2,start,"start[22,4]",22,4,103.966859
2,start,"start[27,1]",27,1,71.305092
2,start,"start[27,2]",27,2,91.552678
2,start,"start[27,3]",27,3,104.295479
2,start,"start[27,4]",27,4,117.271572
2,start,"start[34,1]",34,1,31.105222
2,start,"start[34,2]",34,2,42.538492
2,start,"start[34,3]",34,3,54.990352
2,start,"start[34,4]",34,4,65.822192
2,o,"o[3,1]",3,1,49.285425
2,o,"o[3,2]",3,2,64.485449
2,o,"o[3,3]",3,3,73.690625
2,o,"o[3,4]",3,4,86.842847
2,o,"o[4,1]",4,1,58.891974
2,o,"o[4,2]",4,2,76.104195
2,o,"o[4,3]",4,3,85.593605
2,o,"o[4,4]",4,4,97.712705
2,o,"o[9,1]",9,1,22.145656
2,o,"o[9,2]",9,2,32.249754
2,o,"o[9,3]",9,3,41.302395
2,o,"o[9,4]",9,4,50.659185
2,o,"o[16,1]",16,1,31.105222
2,o,"o[16,2]",16,2,42.538492
2,o,"o[16,3]",16,3,51.19834
2,o,"o[16,4]",16,4,61.077292
2,o,"o[22,1]",22,1,71.305092
2,o,"o[22,2]",22,2,91.552678
2,o,"o[22,3]",22,3,103.966859
2,o,"o[22,4]",22,4,117.271572
2,o,"o[27,1]",27,1,82.012212
2,o,"o[27,2]",27,2,104.295479
2,o,"o[27,3]",27,3,115.687499
2,o,"o[27,4]",27,4,128.686615
2,o,"o[34,1]",34,1,41.637943
2,o,"o[34,2]",34,2,54.990352
2,o,"o[34,3]",34,3,65.822192
2,o,"o[34,4]",34,4,77.652257
2,t,t[3],3,,93.742847
2,t,t[4],4,,100.912705
2,t,t[9],9,,57.059185
2,t,t[16],16,,62.577292
2,t,t[22],22,,124.271572
2,t,t[27],27,,134.486615
2,t,t[34],34,,79.552257
2,d,d[3],3,,0.0
2,d,d[4],4,,1.312705
2,d,d[9],9,,0.0
2,d,d[16],16,,0.0
2,d,d[22],22,,0.0
2,d,d[27],27,,0.286615
2,d,d[34],34,,0.0
3,start,"start[26,1]",26,1,10.8
3,start,"start[26,2]",26,2,19.382519
3,start,"start[26,3]",26,3,28.509329
3,start,"start[26,4]",26,4,37.174262
3,start,"start[26,5]",26,5,45.85168
3,start,"start[30,1]",30,1,19.382519
3,start,"start[30,2]",30,2,31.460124
3,start,"start[30,3]",30,3,44.566611
3,start,"start[30,4]",30,4,58.127773
3,start,"start[30,5]",30,5,71.485404
