
Gurobi 10.0.1 (win64) logging started Sun Apr 26 00:25:57 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_65j_seed2\log\exp_7f_65j_seed2_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 238083 rows, 118950 columns and 1177256 nonzeros
Model fingerprint: 0xe32bb9ed
Variable types: 1950 continuous, 117000 integer (117000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [3e+01, 4e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 6e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 142657 rows and 71172 columns
Presolve time: 1.85s
Presolved: 95426 rows, 47778 columns, 469526 nonzeros
Variable types: 1255 continuous, 46523 integer (46523 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 95426 rows, 47778 columns, 469526 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   3.869096e+03     10s
Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 3.044150e+04, 4658 iterations, 0.34 seconds (0.43 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 30248.7969    0  454 21097.3631 30248.7969  43.4%     -   42s
     0     0 30248.7969    0  441 21097.3631 30248.7969  43.4%     -   42s
     0     0 30248.7969    0  510 21097.3631 30248.7969  43.4%     -   43s
     0     0 30248.7969    0  382 21097.3631 30248.7969  43.4%     -   44s
     0     2 30234.0535    0  342 21097.3631 30234.0535  43.3%     -   45s
H   31    52                    21857.453199 30178.6842  38.1%  1191   57s
H   35    52                    21998.454165 30178.6842  37.2%  1194   57s
H   36    52                    22036.579303 30178.6842  36.9%  1187   57s
H   40    52                    22099.478263 30155.5070  36.5%  1168   57s
H   42    52                    22687.641506 30155.5070  32.9%  1149   57s
    91   110 29686.2825    7  445 22687.6415 30154.7366  32.9%   943   61s
H  146   155                    22747.280652 30154.7366  32.6%   639   64s
   194   208 29684.3391   12  434 22747.2807 30154.7366  32.6%   525   65s
H  256   258                    22903.602545 30154.7366  31.7%   429   68s
   315   315 29678.9359   18  430 22903.6025 30154.7366  31.7%   386   72s
   482   455 29664.4073   23  429 22903.6025 30154.7366  31.7%   314   76s
H  485   455                    22903.602547 30154.7366  31.7%   314   76s
   749   685 29602.4667   26  421 22903.6025 30154.7366  31.7%   265   82s
H  764   685                    22903.602550 30154.7366  31.7%   264   82s
   988   967 29032.7707   36  383 22903.6025 30154.7366  31.7%   229   85s
  1690  1621 28747.1843   56  399 22903.6025 30154.7366  31.7%   167   90s
  2387  2228 28073.2831   72  421 22903.6025 30154.7366  31.7%   140   95s
  3112  2833 27220.3973   89  369 22903.6025 30154.7366  31.7%   126  101s
H 3185  2833                    22903.602552 30154.7366  31.7%   125  101s
