record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": []}"
validated,2,1385.8119813999665,0.0,21836.206739948128,14.756976439104596,0.19499993324279785,4,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [7, 16, 40, 42], ""7"": []}"
validated,3,1544.668760677324,0.0,21748.104586746405,13.079461655720966,0.30900001525878906,4,"{""1"": [], ""2"": [], ""3"": [], ""4"": [7], ""5"": [], ""6"": [16, 40, 42], ""7"": []}"
validated,4,1879.511652292575,0.0,21709.39806358974,10.550552526295451,0.434999942779541,5,"{""1"": [18], ""2"": [], ""3"": [], ""4"": [7], ""5"": [], ""6"": [16, 40, 42], ""7"": []}"
validated,5,2140.9983571602006,0.0,21689.54256716446,9.130574128946673,0.4679999351501465,5,"{""1"": [], ""2"": [18], ""3"": [], ""4"": [7], ""5"": [], ""6"": [16, 40, 42], ""7"": []}"
validated,6,2861.249891263912,0.0,21657.43818314656,6.569222894257491,0.6710000038146973,7,"{""1"": [], ""2"": [18], ""3"": [4, 27], ""4"": [7], ""5"": [], ""6"": [16, 40, 42], ""7"": []}"
validated,7,3445.031771441752,0.0,21633.43669235451,5.279604406464117,0.7039999961853027,7,"{""1"": [], ""2"": [18, 27], ""3"": [], ""4"": [7], ""5"": [], ""6"": [4, 16, 40, 42], ""7"": []}"
validated,8,4670.6690102215,1021.5588318,21621.715331452826,3.629254456724487,1.0069999694824219,13,"{""1"": [], ""2"": [18, 27], ""3"": [], ""4"": [7], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 31, 35, 40, 42], ""7"": []}"
validated,9,4809.654237351776,1021.5588318,21615.862032574845,3.494265276847981,1.1129999160766602,13,"{""1"": [], ""2"": [18, 27], ""3"": [], ""4"": [7, 31], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42], ""7"": []}"
validated,10,5824.815285849435,1021.5588318,21615.862032574845,2.7109952799855344,3.5209999084472656,15,"{""1"": [], ""2"": [18, 26, 27], ""3"": [], ""4"": [7, 10], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 31, 35, 40, 42], ""7"": []}"
validated,11,7434.185271683812,1021.5588318,21608.626766689053,1.906657014453823,3.7269999980926514,19,"{""1"": [], ""2"": [18, 26, 27], ""3"": [], ""4"": [7, 10], ""5"": [9, 41, 49, 52], ""6"": [4, 11, 16, 21, 23, 30, 31, 35, 40, 42], ""7"": []}"
validated,12,7722.726222151317,1466.0856654,21534.27571761183,1.7884292538876294,14.736999988555908,19,"{""1"": [], ""2"": [18, 27], ""3"": [], ""4"": [7, 9, 10, 26, 31, 41, 49], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": []}"
validated,13,8296.45823635972,1466.0856654,21510.40327118712,1.5927212140858493,16.186000108718872,21,"{""1"": [], ""2"": [6, 8, 18, 27], ""3"": [], ""4"": [7, 9, 10, 26, 31, 41, 49], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": []}"
validated,14,9092.735215330347,2252.3175855,21505.130691430295,1.365089291852759,16.48900008201599,27,"{""1"": [], ""2"": [6, 8, 18, 27, 51], ""3"": [43], ""4"": [7, 9, 10, 26, 31, 41, 49], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": [2, 3, 34, 45]}"
validated,15,9702.236874899734,1501.164141,21505.130691430295,1.2165126422614305,16.51800012588501,25,"{""1"": [], ""2"": [8, 18, 27, 51], ""3"": [43], ""4"": [7, 9, 10, 26, 31, 41, 49], ""5"": [], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": [3, 34, 45]}"
validated,16,10663.907357490869,1501.164141,21501.19458810164,1.0162585689567258,17.08299994468689,27,"{""1"": [], ""2"": [8, 18, 27, 51], ""3"": [43], ""4"": [7, 9, 10, 26, 31, 41, 49], ""5"": [1, 54], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": [3, 34, 45]}"
validated,17,10868.110333544291,1690.8836946,21478.770050054758,0.9763113725263529,20.388000011444092,27,"{""1"": [], ""2"": [1, 8, 18, 27, 51], ""3"": [43], ""4"": [7, 9, 10, 26, 31, 41, 49], ""5"": [54], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": [3, 34, 45]}"
validated,18,12242.200793075886,2243.3931312,21478.770050054758,0.7544860122048496,26.00600004196167,32,"{""1"": [], ""2"": [1, 8, 18, 25, 27], ""3"": [43], ""4"": [7, 9, 10, 26, 31, 41, 48, 49], ""5"": [2, 3, 20, 32, 51, 54], ""6"": [4, 11, 16, 21, 23, 30, 35, 40, 42, 52], ""7"": [34, 45]}"
validated,19,13778.292996163036,4197.619345499999,21478.770050054758,0.5588846931935721,26.436000108718872,37,"{""1"": [3, 14, 44, 54], ""2"": [1, 8, 13, 18, 27, 34, 43], ""3"": [55], ""4"": [7, 9, 10, 26, 31, 41, 48, 53], ""5"": [2, 15, 19, 24, 45, 49, 51], ""6"": [4, 11, 21, 23, 28, 30, 35, 40, 42, 52], ""7"": []}"
validated,20,16496.037917967387,2985.0489372,21384.008962054428,0.2963118215655343,96.03699994087219,41,"{""1"": [3, 27, 54], ""2"": [1, 4, 7, 10, 13, 25, 32, 34, 43], ""3"": [45, 55], ""4"": [14, 26, 29, 31, 44, 47, 48, 50, 53], ""5"": [2, 9, 19, 20, 24, 39, 41, 49], ""6"": [5, 11, 28, 30, 35, 40, 42, 51, 52], ""7"": [8]}"
validated,21,16532.891420411946,2985.0489372,21362.679844751343,0.29213210814270585,152.19700002670288,42,"{""1"": [3, 27, 54], ""2"": [1, 4, 7, 10, 13, 25, 32, 34, 43], ""3"": [45, 55], ""4"": [14, 26, 29, 31, 44, 47, 48, 50, 53], ""5"": [2, 9, 19, 20, 24, 39, 41, 49], ""6"": [5, 11, 28, 30, 35, 40, 42, 51, 52], ""7"": [8, 18]}"
validated,22,16670.717667400524,2564.3839332000002,21362.679844751343,0.281449321556559,155.65100002288818,41,"{""1"": [3, 27, 54], ""2"": [1, 4, 7, 10, 13, 25, 32, 34, 43], ""3"": [45, 55], ""4"": [14, 26, 31, 44, 47, 48, 50, 53], ""5"": [2, 9, 19, 20, 24, 39, 41, 49], ""6"": [5, 11, 28, 30, 35, 40, 42, 51, 52], ""7"": [8, 18]}"
validated,23,17874.428043009626,1318.8664419,21362.679844751343,0.19515319837637607,157.14100003242493,40,"{""1"": [3, 27, 54], ""2"": [1, 4, 7, 10, 13, 32, 34, 43], ""3"": [45, 55], ""4"": [14, 26, 31, 44, 47, 48, 50, 53], ""5"": [2, 9, 19, 20, 24, 39, 41, 49], ""6"": [5, 11, 28, 30, 35, 40, 42, 51, 52], ""7"": [8, 18]}"
validated,24,18513.520371613915,1239.7354317,21362.679844751343,0.1538961481094615,197.06299996376038,40,"{""1"": [3, 27, 34, 45, 54], ""2"": [1, 4, 5, 7, 10, 13, 32, 43], ""3"": [], ""4"": [14, 26, 31, 33, 44, 48, 50, 53], ""5"": [2, 9, 19, 20, 24, 39, 41, 49], ""6"": [11, 12, 28, 30, 40, 42, 51, 52, 55], ""7"": [8, 18]}"
validated,25,18614.258226954604,1089.1978755,21315.987930700965,0.14514302266603826,359.8840000629425,40,"{""1"": [18, 27, 34, 45, 54], ""2"": [1, 2, 4, 7, 10, 13, 32, 43], ""3"": [], ""4"": [14, 26, 31, 33, 44, 47, 48, 50, 53], ""5"": [3, 9, 19, 20, 24, 39, 41, 49], ""6"": [11, 12, 17, 30, 40, 42, 51, 52, 55], ""7"": [8]}"
validated,26,19146.80869442237,573.0423579000001,21272.361009735523,0.11101339911190246,692.9679999351501,41,"{""1"": [3, 18, 27, 34, 54], ""2"": [1, 2, 4, 7, 10, 13, 28, 32], ""3"": [43, 45], ""4"": [14, 26, 31, 33, 44, 48, 50, 53], ""5"": [9, 17, 19, 20, 24, 39, 41, 49], ""6"": [11, 12, 23, 30, 40, 42, 51, 52, 55], ""7"": [8]}"
final_result,final,19146.80869442237,573.0423579000001,21228.415640068146,0.10871821925353896,1801.1579999923706,41,"{""1"": [3, 18, 27, 34, 54], ""2"": [1, 2, 4, 7, 10, 13, 28, 32], ""3"": [43, 45], ""4"": [14, 26, 31, 33, 44, 48, 50, 53], ""5"": [9, 17, 19, 20, 24, 39, 41, 49], ""6"": [11, 12, 23, 30, 40, 42, 51, 52, 55], ""7"": [8]}"
